timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.72266E+12,5310,HTTP Request-1,200,OK,Users 1-11,text,TRUE,,73837,121,8,8,https://betashop.alter.game/,5270,0,535
1.72266E+12,4860,HTTP Request-1,200,OK,Users 1-20,text,TRUE,,73837,121,8,8,https://betashop.alter.game/,4820,0,78
1.72266E+12,5217,HTTP Request,200,OK,Users 1-14,text,TRUE,,74436,242,6,6,https://betashop.alter.game/,46,0,22
1.72266E+12,46,HTTP Request-0,301,Moved Permanently,Users 1-14,text,TRUE,,599,121,6,6,http://betashop.alter.game/,46,0,22
1.72266E+12,5169,HTTP Request-1,200,OK,Users 1-14,text,TRUE,,73837,121,6,6,https://betashop.alter.game/,5137,0,380
1.72266E+12,5686,HTTP Request,200,OK,Users 1-4,text,TRUE,,74436,242,5,5,https://betashop.alter.game/,282,0,242
1.72266E+12,299,HTTP Request-0,301,Moved Permanently,Users 1-4,text,TRUE,,599,121,5,5,http://betashop.alter.game/,282,0,242
1.72266E+12,5383,HTTP Request-1,200,OK,Users 1-4,text,TRUE,,73837,121,5,5,https://betashop.alter.game/,5350,0,574
1.72266E+12,4993,HTTP Request,200,OK,Users 1-19,text,TRUE,,74436,242,4,4,https://betashop.alter.game/,48,0,23
1.72266E+12,48,HTTP Request-0,301,Moved Permanently,Users 1-19,text,TRUE,,599,121,4,4,http://betashop.alter.game/,48,0,23
1.72266E+12,4944,HTTP Request-1,200,OK,Users 1-19,text,TRUE,,73837,121,4,4,https://betashop.alter.game/,4909,0,134
1.72266E+12,5694,HTTP Request,200,OK,Users 1-2,text,TRUE,,74436,242,3,3,https://betashop.alter.game/,283,0,243
1.72266E+12,300,HTTP Request-0,301,Moved Permanently,Users 1-2,text,TRUE,,599,121,3,3,http://betashop.alter.game/,283,0,243
1.72266E+12,5391,HTTP Request-1,200,OK,Users 1-2,text,TRUE,,73837,121,3,3,https://betashop.alter.game/,5354,0,579
1.72266E+12,5366,HTTP Request,200,OK,Users 1-12,text,TRUE,,74436,242,2,2,https://betashop.alter.game/,45,0,21
1.72266E+12,45,HTTP Request-0,301,Moved Permanently,Users 1-12,text,TRUE,,599,121,2,2,http://betashop.alter.game/,45,0,21
1.72266E+12,5320,HTTP Request-1,200,OK,Users 1-12,text,TRUE,,73837,121,2,2,https://betashop.alter.game/,5294,0,470
1.72266E+12,5584,HTTP Request,200,OK,Users 1-8,text,TRUE,,74436,242,1,1,https://betashop.alter.game/,128,0,88
1.72266E+12,145,HTTP Request-0,301,Moved Permanently,Users 1-8,text,TRUE,,599,121,1,1,http://betashop.alter.game/,128,0,88
1.72266E+12,5436,HTTP Request-1,200,OK,Users 1-8,text,TRUE,,73837,121,1,1,https://betashop.alter.game/,5407,0,574
